GID,NAME,DESCRIPTION,LANGUAGE
L5,Tre- eller fyrhjuling,"Trehjuligt fordon, Vi > 50 cm3, v > 45 km/h, hjul är symmetriskt placerade i förhållande till fordonets mittaxel, m <= 1000 kg ELLER ett fyrhjuligt fordon, Vi > 50 cm3, v > 45 km/h, m (olastad) < 400 kg tai m (olastad) < 550 kg, när avsett för godstranspor P <= 15 kW",sv
L5e,Motor tricycle,Motor tricycle,en
L5e,Kolmipyörä,"Kolmipyörä, Vi > 50 cm3, v > 45 km/h",fi
L5e,Trehjuling,"Trehjuligt fordon, Vi > 50 cm3, v > 45 km/h",sv
L6e,Light quadricycle,Light quadricycle,en
L6e,Kevyt nelipyörä,"Kevyt nelipyörä, m <= 350 kg (kuormittamaton), v <= 45 km/h",fi
L6e,Lätt fyrhjuling,"Fyrhjuligt fordon, m <= 350 kg (olastad), v <= 45 km/h",sv
L7e,Quadricycle,Quadricycle,en
L7e,Nelipyörä,"Nelipyörä, m <= 400 kg (kuormittamaton), P <= 15 kW",fi
L7e,Fyrhjuling,"Fyrhjuligt fordon, m <= 400 kg (olastad), P <= 15 kW",sv
LTR,Tractor registered for road use,Tractor registered for road use,en
LTR,Liikennetraktori,"Tavarankuljetukseen tarkoitettu kuormaa kantava nestepainetoimisella runko-ohjauksella varustettu traktori, v <= 50 km/h.",fi
LTR,Trafiktraktor,"En lastbärande traktor med hydraulisk ledramstyrning som är avsedd för godstransport, v <= 50 km/h.",sv
M1,Car,Car,en
M1,Henkilöauto,"Matkustajien kuljettamiseen valmistettu ajoneuvo, tilaa kuljettajan lisäksi enintään kahdeksalle matkustajalle",fi
M1,Personbil,Ett för persontransport tillverkat fordon med plats för högst åtta personer utöver föraren,sv
M1G,Car,Car,en
M1G,Henkilöauto,"Matkustajien kuljettamiseen valmistettu maastoauto, tilaa kuljettajan lisäksi enintään kahdeksalle matkustajalle",fi
M1G,Personbil,En för persontransport tillverkad terrängbil med plats för högst åtta personer utöver föraren,sv
M2,Bus/coach,Bus/coach,en
M2,Linja-auto,"Matkustajien kuljettamiseen valmistettu ajoneuvo, tilaa kuljettajan lisäksi yli kahdeksalle matkustajalle, m <= 5000 kg",fi
M2,Buss,"Ett för persontransport tillverkat fordon med plats för fler än åtta personer utöver föraren, m <= 5000 kg",sv
M2G,Bus/coach,Bus/coach,en
M2G,Linja-auto,"Matkustajien kuljettamiseen valmistettu maastoauto, tilaa kuljettajan lisäksi yli kahdeksalle matkustajalle, m <= 5000 kg",fi
M2G,Buss,"En för persontransport tillverkad terrängbil med plats för fler än åtta personer utöver föraren, m <= 5000 kg",sv
M3,Bus/coach,Bus/coach,en
M3,Linja-auto,"Matkustajien kuljettamiseen tarkoitettu ajoneuvo, tilaa kuljettajan lisäksi yli kahdeksalle matkustajalle, m > 5000 kg",fi
M3,Buss,"Ett för persontransport tillverkat fordon med plats för fler än åtta personer utöver föraren, m > 5000 kg",sv
M3G,Bus/coach,Bus/coach,en
M3G,Linja-auto,"Matkustajien kuljettamiseen valmistettu maastoauto, tilaa kuljettajan lisäksi yli kahdeksalle matkustajalle, m > 5000 kg",fi
M3G,Buss,"En för persontransport tillverkad terrängbil med plats för fler än åtta personer utöver föraren, m > 5000 kg",sv
MA,All-terrain vehicle,All-terrain vehicle,en
MA,Maastoajoneuvo,"Henkilöiden tai tavaran kuljetukseen tarkoitettu jäällä, lumessa tai vajottavassa maastossa tai maahan tukeutuen kulkemaan valmistettu moottorikäyttöinen ajoneuvo",fi
MA,Terrängfordon,"Fordon tillverkat för person- eller godstransport eller för dragning av andra fordon på is, i snö eller på sank mark eller för färd med marken som stöd",sv
MTK,Public works vehicle,Public works vehicle,en
MTK,Moottorityökone,"Työkoneeksi valmistettu tai varustettava ajoneuvo, v <= 40 km/h; tienpitoon tarkoitettu muu moottorikäyttöinen ajoneuvo kuin auto; vetotrukki, v <= 50 km/h",fi
MTK,Motorredskap,"Fordon som tillverkats eller är avsett att utrustas som arbetsmaskin, v <= 40 km/h; ett för väghållningsarbete tillverkat annat motordrivet fordon än en bil; en dragtruck, v <= 50 km/h",sv
N1,Van,Van,en
N1,Pakettiauto,"Tavaroiden kuljettamiseen valmistettu ajoneuvo, m <= 3500 kg",fi
N1,Paketbil,"Ett för godstransport tillverkat fordon, m <= 3500 kg",sv
N1G,Van,Van,en
N1G,Pakettiauto,"Tavaroiden kuljettamiseen valmistettu maastoauto, m <= 3500 kg",fi
N1G,Paketbil,"En för godstransport tillverkad terrängbil, m <= 3500 kg",sv
N2,Lorry,Lorry,en
N2,Kuorma-auto,"Tavaroiden kuljettamiseen valmistettu ajoneuvo, 3500 < m <= 12000 kg",fi
N2,Lastbil,"Ett för godstransport tillverkat fordon, 3500 < m <= 12000 kg",sv
N2G,Lorry,Lorry,en
N2G,Kuorma-auto,"Tavaroiden kuljettamiseen valmistettu maastoauto, 3500 < m <= 12000 kg",fi
N2G,Lastbil,"En för godstransport tillverkad terrängbil, 3500 < m <= 12000 kg",sv
N3,Lorry,Lorry,en
N3,Kuorma-auto,"Tavaroiden kuljettamiseen valmistettu ajoneuvo, m > 12000 kg",fi
N3,Lastbil,"Ett för godstransport tillverkat fordon, m > 12000 kg",sv
N3G,Lorry,Lorry,en
N3G,Kuorma-auto,"Tavaroiden kuljettamiseen valmistettu maastoauto, m > 12000 kg",fi
N3G,Lastbil,"En för godstransport tillverkad terrängbil, m > 12000 kg",sv
O1,Light trailer,Light trailer,en
O1,Kevyt perävaunu,"Perävaunu, m <= 750 kg",fi
O1,Lätt släpvagn,"Släpvagn, m <= 750 kg",sv
O2,Trailer,Trailer,en
