GID,NAME,LANGUAGE
609,Pori,fi
609,Björneborg,sv
611,Pornainen,fi
611,Borgnäs,sv
614,Posio,fi
614,Posio,sv
615,Pudasjärvi,fi
615,Pudasjärvi,sv
616,Pukkila,fi
616,Pukkila,sv
619,Punkalaidun,fi
619,Punkalaidun,sv
620,Puolanka,fi
620,Puolanka,sv
623,Puumala,fi
623,Puumala,sv
624,Pyhtää,fi
624,Pyttis,sv
625,Pyhäjoki,fi
625,Pyhäjoki,sv
626,Pyhäjärvi,fi
626,Pyhäjärvi,sv
630,Pyhäntä,fi
630,Pyhäntä,sv
631,Pyhäranta,fi
631,Pyhäranta,sv
635,Pälkäne,fi
635,Pälkäne,sv
636,Pöytyä,fi
636,Pöytyä,sv
638,Porvoo,fi
638,Borgå,sv
678,Raahe,fi
678,Brahestad,sv
680,Raisio,fi
680,Reso,sv
681,Rantasalmi,fi
681,Rantasalmi,sv
683,Ranua,fi
683,Ranua,sv
684,Rauma,fi
684,Raumo,sv
686,Rautalampi,fi
686,Rautalampi,sv
687,Rautavaara,fi
687,Rautavaara,sv
689,Rautjärvi,fi
689,Rautjärvi,sv
691,Reisjärvi,fi
691,Reisjärvi,sv
694,Riihimäki,fi
694,Riihimäki,sv
697,Ristijärvi,fi
697,Ristijärvi,sv
698,Rovaniemi,fi
698,Rovaniemi,sv
700,Ruokolahti,fi
700,Ruokolahti,sv
702,Ruovesi,fi
702,Ruovesi,sv
704,Rusko,fi
704,Rusko,sv
707,Rääkkylä,fi
707,Rääkkylä,sv
729,Saarijärvi,fi
729,Saarijärvi,sv
732,Salla,fi
732,Salla,sv
734,Salo,fi
734,Salo,sv
736,Saltvik,fi
736,Saltvik,sv
738,Sauvo,fi
738,Sagu,sv
739,Savitaipale,fi
739,Savitaipale,sv
740,Savonlinna,fi
740,Nyslott,sv
742,Savukoski,fi
742,Savukoski,sv
743,Seinäjoki,fi
743,Östermyra,sv
746,Sievi,fi
746,Sievi,sv
747,Siikainen,fi
747,Siikainen,sv
748,Siikajoki,fi
748,Siikajoki,sv
749,Siilinjärvi,fi
749,Siilinjärvi,sv
751,Simo,fi
751,Simo,sv
753,Sipoo,fi
753,Sibbo,sv
755,Siuntio,fi
755,Sjundeå,sv
758,Sodankylä,fi
758,Sodankylä,sv
759,Soini,fi
759,Soini,sv
761,Somero,fi
761,Somero,sv
762,Sonkajärvi,fi
762,Sonkajärvi,sv
765,Sotkamo,fi
765,Sotkamo,sv
766,Sottunga,fi
766,Sottunga,sv
768,Sulkava,fi
768,Sulkava,sv
771,Sund,fi
771,Sund,sv
777,Suomussalmi,fi
777,Suomussalmi,sv
778,Suonenjoki,fi
778,Suonenjoki,sv
781,Sysmä,fi
781,Sysmä,sv
783,Säkylä,fi
783,Säkylä,sv
785,Vaala,fi
785,Vaala,sv
831,Taipalsaari,fi
831,Taipalsaari,sv
832,Taivalkoski,fi
832,Taivalkoski,sv
833,Taivassalo,fi
833,Tövsala,sv
834,Tammela,fi
834,Tammela,sv
837,Tampere,fi
837,Tammerfors,sv
838,Tarvasjoki,fi
